MUNI_ID¬MUNI_NOMBRE¬DEPA_NOMBRE¬PUNTAJE_PROMEDIO¬ERRORESTANDARPROMEDIO¬DESVIACION¬PORCENTAJE_INSUFICIENTE¬PORCENTAJE_MINIMO¬PORCENTAJE_SATISFACTORIO¬PORCENTAJE_AVANZADO¬N
52001¬Pasto¬Nariño¬329¬0,153¬59¬12¬50¬30¬8¬4700
19532¬Patía¬Cauca¬277¬0,612¬50¬34¬56¬9¬1¬359
15531¬Pauna¬Boyacá¬319¬1,684¬65¬15¬54¬26¬6¬145
15533¬Paya¬Boyacá¬311¬0¬51¬17¬57¬23¬3¬35
85250¬Paz de Ariporo¬Casanare¬327¬0,459¬61¬14¬49¬28¬9¬498
15537¬Paz de Río¬Boyacá¬331¬0,612¬50¬6¬56¬35¬3¬79
47541¬Pedraza¬Magdalena¬255¬1,582¬43¬49¬48¬3¬0¬104
20550¬Pelaya¬Cesar¬290¬0,663¬53¬24¬60¬14¬2¬257
17541¬Pensilvania¬Caldas¬297¬0,561¬52¬20¬62¬17¬1¬261
05543¬Peque¬Antioquia¬292¬2,245¬56¬27¬56¬16¬2¬68
66001¬Pereira¬Risaralda¬318¬0,204¬59¬16¬52¬24¬8¬5323
15542¬Pesca¬Boyacá¬317¬1,276¬55¬9¬63¬25¬3¬96
05541¬Peñol¬Antioquia¬326¬1,224¬64¬13¬56¬24¬8¬160
19533¬Piamonte¬Cauca¬298¬2,857¬56¬15¬69¬13¬4¬48
68547¬Piedecuesta¬Santander¬330¬0,306¬65¬13¬48¬29¬10¬2008
73547¬Piedras¬Tolima¬290¬1,939¬49¬21¬65¬12¬2¬66
19548¬Piendamó¬Cauca¬293¬0,714¬52¬24¬58¬16¬2¬507
63548¬Pijao¬Quindio¬302¬1,582¬57¬15¬66¬16¬4¬109
47545¬Pijiño del Carmen¬Magdalena¬276¬0,918¬45¬34¬57¬8¬1¬167
68549¬Pinchote¬Santander¬348¬1,378¬58¬2¬44¬39¬15¬41
13549¬Pinillos¬Bolívar¬268¬0,816¬46¬39¬56¬5¬1¬324
08549¬Piojó¬Atlántico¬269¬0,918¬44¬42¬54¬3¬2¬65
15550¬Pisba¬Boyacá¬334¬0¬62¬7¬57¬29¬7¬14
41548¬Pital¬Huila¬303¬1,122¬48¬14¬67¬19¬1¬198
41551¬Pitalito¬Huila¬322¬0,306¬58¬13¬53¬27¬7¬1783
47551¬Pivijay¬Magdalena¬278¬0,663¬51¬36¬53¬10¬1¬483
73555¬Planadas¬Tolima¬283¬1,02¬51¬30¬57¬13¬1¬310
23555¬Planeta Rica¬Córdoba¬282¬0,255¬50¬30¬59¬11¬1¬1031
47555¬Plato¬Magdalena¬270¬0,663¬47¬40¬52¬8¬1¬673
52540¬Policarpa¬Nariño¬298¬1,735¬48¬22¬65¬13¬1¬125
08558¬Polonuevo¬Atlántico¬266¬0,612¬47¬43¬50¬6¬1¬235
08560¬Ponedera¬Atlántico¬278¬1,02¬48¬33¬56¬11¬1¬293
19001¬Popayán¬Cauca¬315¬0,204¬58¬16¬54¬24¬6¬3304
85263¬Pore¬Casanare¬311¬1,071¬63¬17¬54¬23¬6¬142
52560¬Potosí¬Nariño¬314¬0,765¬51¬8¬72¬17¬4¬132
76563¬Pradera¬Valle Del Cauca¬297¬0,663¬54¬24¬54¬19¬3¬395
73563¬Prado¬Tolima¬302¬1,224¬63¬26¬48¬20¬7¬120
52565¬Providencia¬Nariño¬301¬0¬51¬18¬57¬25¬0¬76
88564¬Providencia¬San Andrés¬266¬0,765¬46¬37¬52¬11¬0¬63
20570¬Pueblo Bello¬Cesar¬296¬0,969¬56¬21¬58¬19¬3¬234
23570¬Pueblo Nuevo¬Córdoba¬290¬0,561¬48¬26¬58¬16¬1¬424
66572¬Pueblo Rico¬Risaralda¬272¬0,51¬51¬40¬50¬8¬2¬204
05576¬Pueblorrico¬Antioquia¬283¬1,735¬54¬30¬62¬6¬2¬86
47570¬Puebloviejo¬Magdalena¬257¬0,918¬43¬51¬41¬8¬0¬306
68572¬Puente Nacional¬Santander¬338¬0,51¬66¬10¬45¬35¬10¬325
52573¬Puerres¬Nariño¬339¬1,02¬56¬7¬44¬43¬5¬99
86568¬Puerto Asís¬Putumayo¬307¬0,51¬53¬17¬57¬21¬5¬814
05579¬Puerto Berrío¬Antioquia¬262¬0,561¬46¬45¬50¬5¬1¬472
15572¬Puerto Boyacá¬Boyacá¬287¬0,51¬52¬29¬55¬14¬1¬716
86569¬Puerto Caicedo¬Putumayo¬299¬1,224¬48¬17¬66¬15¬2¬130
99001¬Puerto Carreño¬Vichada¬287¬1,071¬46¬21¬67¬12¬0¬212
08573¬Puerto Colombia¬Atlántico¬317¬0,765¬60¬21¬48¬20¬11¬701
50450¬Puerto Concordia¬Meta¬290¬0,714¬46¬20¬69¬10¬1¬89
23574¬Puerto Escondido¬Córdoba¬282¬0,816¬45¬30¬58¬12¬1¬351
50568¬Puerto Gaitán¬Meta¬268¬0,663¬51¬43¬49¬7¬1¬425
86571¬Puerto Guzmán¬Putumayo¬293¬0,969¬52¬25¬57¬16¬3¬262
23580¬Puerto Libertador¬Córdoba¬272¬0,969¬47¬34¬59¬7¬1¬464
50577¬Puerto Lleras¬Meta¬270¬0,561¬48¬37¬54¬9¬0¬126
50573¬Puerto López¬Meta¬294¬0,459¬53¬23¬59¬17¬2¬485
05585¬Puerto Nare¬Antioquia¬278¬0,918¬52¬36¬52¬12¬1¬159
91540¬Puerto Nariño¬Amazonas¬239¬1,122¬37¬62¬36¬2¬0¬111
68573¬Puerto Parra¬Santander¬282¬1,735¬41¬29¬57¬14¬0¬58
18592¬Puerto Rico¬Caquetá¬277¬0,918¬50¬34¬57¬7¬1¬325
50590¬Puerto Rico¬Meta¬282¬1,582¬51¬31¬57¬10¬2¬115
81591¬Puerto Rondón¬Arauca¬296¬0¬59¬18¬66¬14¬2¬44
25572¬Puerto Salgar¬Cundinamarca¬328¬1,327¬57¬16¬47¬27¬10¬215
54553¬Puerto Santander¬Norte De Santander¬262¬1,276¬43¬41¬54¬5¬0¬102
