MUNI_ID¬MUNI_NOMBRE¬DEPA_NOMBRE¬PUNTAJE_PROMEDIO¬ERRORESTANDARPROMEDIO¬DESVIACION¬PORCENTAJE_INSUFICIENTE¬PORCENTAJE_MINIMO¬PORCENTAJE_SATISFACTORIO¬PORCENTAJE_AVANZADO¬N
54498¬Ocaña¬Norte De Santander¬321¬0,408¬53¬11¬33¬36¬20¬1545
68500¬Oiba¬Santander¬329¬0,867¬55¬11¬30¬31¬29¬143
15500¬Oicatá¬Boyacá¬288¬0¬44¬13¬61¬18¬8¬38
05501¬Olaya¬Antioquia¬298¬2,551¬55¬21¬37¬29¬13¬38
52490¬Olaya Herrera¬Nariño¬270¬1,122¬40¬39¬45¬13¬4¬438
68502¬Onzaga¬Santander¬322¬0¬55¬17¬23¬34¬26¬53
41503¬Oporapa¬Huila¬325¬0,663¬53¬10¬30¬35¬25¬265
86320¬Orito¬Putumayo¬307¬0,408¬50¬15¬39¬32¬14¬758
85230¬Orocué¬Casanare¬303¬0,714¬52¬16¬42¬28¬15¬233
73504¬Ortega¬Tolima¬283¬0,51¬48¬28¬45¬20¬7¬602
52506¬Ospina¬Nariño¬316¬1,531¬52¬10¬36¬33¬21¬61
15507¬Otanche¬Boyacá¬320¬2,398¬55¬7¬44¬28¬21¬94
70508¬Ovejas¬Sucre¬291¬0,612¬45¬28¬40¬23¬10¬440
15511¬Pachavita¬Boyacá¬330¬1,837¬59¬8¬32¬37¬24¬38
25513¬Pacho¬Cundinamarca¬322¬0,561¬61¬14¬33¬31¬21¬370
19513¬Padilla¬Cauca¬294¬1,582¬50¬29¬33¬25¬14¬151
19517¬Paez¬Cauca¬286¬0,459¬46¬27¬47¬17¬10¬930
41518¬Paicol¬Huila¬333¬0,816¬56¬5¬31¬33¬30¬99
20517¬Pailitas¬Cesar¬289¬0,612¬46¬30¬43¬17¬11¬398
25518¬Paime¬Cundinamarca¬301¬1,786¬48¬15¬42¬34¬9¬53
15516¬Paipa¬Boyacá¬336¬0,51¬59¬8¬30¬29¬33¬536
15518¬Pajarito¬Boyacá¬316¬1,429¬58¬16¬26¬40¬18¬38
41524¬Palermo¬Huila¬314¬0,561¬53¬17¬35¬28¬19¬520
17524¬Palestina¬Caldas¬299¬1,684¬48¬18¬46¬25¬12¬191
41530¬Palestina¬Huila¬307¬0,816¬49¬14¬37¬37¬12¬219
68522¬Palmar¬Santander¬300¬1,633¬53¬20¬40¬25¬15¬20
08520¬Palmar de Varela¬Atlántico¬294¬0,408¬51¬21¬47¬22¬10¬488
