COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CARACTER,COLE_AREA_UBICACION,COLE_COD_MCPIO_UBICACION
105001025771,INST EDUC JOAQUIN VALLEJO ARBELAEZ,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001012696,INST EDUC ALFONSO LOPEZ PUMAREJO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001005347,INST EDUC TULIO OSPINA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001002461,INST EDUC LUCRECIO JARAMILLO VELEZ,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001003123,I.E. FATIMA NUTIBARA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001002496,INST EDUC CRISTO REY,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001020028,INST EDUC EL SALVADOR,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001002780,INST EDUC SAN FRANCISCO DE ASIS,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001002798,INST EDUC MATER DEI,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001006718,INST EDUC ASIA IGNACIANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001019798,INST EDUC ALFONSO LOPEZ,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001002976,INST EDUC LA PIEDAD,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001003131,INST EDUC REPUBLICA DE HONDURAS,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001019453,INST EDUC VILLA DEL SOCORRO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001003221,INSTITUCION EDUCATIVA MANUEL JOSE CAYZEDO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001003271,INSTITUCION EDUCATIVA OCTAVIO HARRY - JACQUELINE KENNEDY,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001003450,INST EDUC ROSALIA SUAREZ,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001003441,INS TEC INDUSTRIAL PASCUAL BRAVO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001004472,INST EDUC LA PRESENTACION,FEMENINO,OFICIAL,ACADÉMICO,URBANO,5001
105001004791,INST EDUC SANTO ANGEL,FEMENINO,OFICIAL,ACADÉMICO,URBANO,5001
105001005291,INST EDUC CAMPO VALDES,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001013072,INST EDUC MAESTRO PEDRO NEL GOMEZ,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001005380,I.E. MANUEL URIBE ÁNGEL,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001005410,INST EDUC JUAN DE DIOS CARVAJAL,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001009865,INST EDUC HERNAN TORO AGUDELO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001005495,INST EDUC REPUBLICA DE URUGUAY,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001012092,INST EDUC BARRIO SANTANDER,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001006092,INST EDUC JULIO CESAR GARCIA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001006181,INST EDUC PEDRO OCTAVIO AMADO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001006246,INST EDUC JORGE ROBLEDO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001006483,INST EDUC RODRIGO CORREA PALACIO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001021636,INST EDUC KENNEDY,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001015172,INST EDUC EDUARDO SANTOS,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001006556,INST EDUC JUAN XXIII,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001025844,INST EDUC ANTONIO DERKA - SANTO DOMINGO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001007111,INST EDUC SEBASTIAN DE BELALCAZAR,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001007218,INST EDUC MARIA DE LOS ANGELES CANO MARQUEZ,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001025780,INST EDUC PBRO ANTONIO JOSE BERNAL LONDOÑO SJ,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001007421,INST EDUC OCTAVIO CALDERON MEJIA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001024073,INST EDUC CASD,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001007439,INST EDUC PEDRO CLAVER AGUIRRE,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001010367,INST EDUC SANTOS ANGELES CUSTODIOS,FEMENINO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001007889,INST EDUC JUVENIL NUEVO FUTURO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001007919,COL SAGRADA FAMILIA ALDEA PABLO VI,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,5001
105001019429,INST EDUC LUIS CARLOS GALAN SARMIENTO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001026697,INST EDUC FUNDADORES,MIXTO,OFICIAL,,URBANO,5001
105001008389,INST EDUC LORETO-GABRIELA GOMEZ CARVAJAL,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001008486,I.E. CAPILLA DEL ROSARIO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001009652,INST EDUC SAN LORENZO DE ABURRA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001009695,INST EDUC SAN JUAN BOSCO,FEMENINO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001010111,INST EDUC MAESTRO FERNANDO BOTERO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001010928,CENT EDUCAL DON BOSCO,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,5001
105001011011,INST EDUC TOMAS CARRASQUILLA NO. 2,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001011061,INST EDUC JOSE ASUNCION SILVA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001011088,INST EDUC CIUDADELA LAS AMERICAS,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001011363,INST EDUC DOCE DE OCTUBRE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001016420,INST EDUC TRICENTENARIO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001011461,INST EDUC FE Y ALEGRIA AURES,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001011606,INST EDUC HORACIO MU?OZ SUESCUN,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001011711,INST EDUC FE Y ALEGRIA VILLA DE LA CANDELARIA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001012076,ESCUELA UNIVERSIDAD NACIONAL,MIXTO,OFICIAL,NO APLICA,URBANO,5001
105001012106,INST EDUC JUAN MARIA CESPEDES,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001012581,INSTITUCION EDUCATIVA REINO DE BELGICA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001013013,INSTITUCION EDUCATIVA EL PICACHITO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001013145,INST EDUC SANTA TERESA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001013633,INST EDUC LOMA HERMOSA,MIXTO,OFICIAL,ACADÉMICO,RURAL,5001
105001013439,INST EDUC FELIX DE BEDOUT MORENO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001013447,INST EDUC JOSE HORACIO BETANCUR,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,5001
105001014397,INST EDUC LUIS LOPEZ DE MESA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001015148,INST EDUC CAMILO MORA CARRASQUILLA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001015091,INST EDUC FE Y ALEGRIA GRANIZAL,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001021199,INST EDUC LA INDEPENDENCIA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001015211,INST EDUC LA LIBERTAD,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001021873,INST EDUC SOL DE ORIENTE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001017132,INST EDUC FE Y ALEGRIA SAN JOSE,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001017876,INST EDUC FRANCISCO LUIS HERNANDEZ BETANCUR,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001026549,INST EDUC BELLO ORIENTE,MIXTO,OFICIAL,,URBANO,5001
105001018759,INST EDUC FE Y ALEGRIA EL LIMONAR,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001019011,I.E. STELLA VELEZ LONDOÑO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001019143,I.E. JORGE ELIECER GAITAN,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001019534,INST EDUC RODRIGO LARA BONILLA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001020052,INST EDUC RAFAEL GARCIA HERREROS,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001025992,INST EDUC LA HUERTA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001019305,INST EDUC LA AVANZADA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001026689,INST EDUC BLANQUIZAL,MIXTO,OFICIAL,,URBANO,5001
105001800112,INST EDUC EL DIAMANTE,MIXTO,OFICIAL,,URBANO,5001
105034000278,I. E. MARCO FIDEL SUAREZ,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5034
105038000019,I. E. MARIANO DE JESUS EUSSE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5038
105045000601,I.E. CADENA LAS PLAYAS,MIXTO,OFICIAL,ACADÉMICO,URBANO,5045
105001019674,INST EDUC MIRAFLORES - LUIS EDUARDO VALENCIA GARCIA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105045001667,I.E. LA PAZ,MIXTO,OFICIAL,ACADÉMICO,URBANO,5045
105001026361,INSTITUCION EDUCATIVA JESUS MARIA VALLE,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105045010721,I.E. SAN JOSÉ OBRERO,MIXTO,OFICIAL,,URBANO,5045
105001020273,INST EDUC CIUDAD DON BOSCO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001021547,INST EDUC VILLA FLORA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001026603,INST EDUC ALTAVISTA,MIXTO,OFICIAL,,RURAL,5001
105045010780,I.E. SAN JUAN BOSCO,MIXTO,OFICIAL,,URBANO,5045
105001022101,INST EDUC LAS NIEVES,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105088000273,IE FERNANDO VELEZ,MIXTO,OFICIAL,ACADÉMICO,URBANO,5088
105088000290,IE DIVINA EUCARISTIA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5088
105088000389,IE SANTA CATALINA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5088
105172000220,I. E. MARIA AUXILIADORA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5172
105197000160,I. E. COCORNA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5197
105001025763,INST EDUC DEBORA ARANGO PEREZ,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001025798,INST EDUC ANGELA RESTREPO MORENO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001025984,I.E. COLEGIO LOYOLA PARA LA CIENCIA Y LA INNOVACIÓN,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001026671,INST EDUC SAN NICOLAS,MIXTO,OFICIAL,,URBANO,5001
105001026000,INST EDUC CIUDADELA NUEVO OCCIDENTE,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
205001006526,INST EDUC MARINA ORTH,MIXTO,OFICIAL,ACADÉMICO,RURAL,5001
105001026352,INSTITUCION EDUCATIVA EL CORAZÓN,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105031001583,I. E. PUEBLO NUEVO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5031
105001026654,INST EDUC EL PLAYON,MIXTO,OFICIAL,,URBANO,5001
105042000180,I. E. SAN LUIS GONZAGA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5042
105001026514,INST EDUC SAN BENITO,MIXTO,OFICIAL,,URBANO,5001
105001026573,IE LUSITANIA- PAZ DE COLOMBIA,MIXTO,OFICIAL,,URBANO,5001
105042000732,I. E. ARTURO VELASQUEZ ORTIZ,MIXTO,OFICIAL,ACADÉMICO,URBANO,5042
105045000164,I.E. MADRE LAURA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5045
105001026662,INST EDUC LA PASTORA,MIXTO,OFICIAL,,URBANO,5001
105045000393,I.E. ALFONSO LOPEZ,MIXTO,OFICIAL,ACADÉMICO,URBANO,5045
105002000047,I. E. FUNDACION CELIA DUQUE DE DUQUE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5002
105031000056,I. E. PRESBITERO GERARDO MONTOYA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5031
105034000014,I. E. SAN JUAN DE LOS ANDES,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5034
105002000055,I. E.  MANUEL CANUTO RESTREPO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5002
105002000161,I. E. ESCUELA NORMAL SUPERIOR,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5002
105004000109,I. E.  LA MILAGROSA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5004
105021000139,I. E. PROCESA DELGADO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5021
