cole_cod_dane_establecimiento,cole_nombre_establecimiento,punt_lectura_critica_mean,punt_lectura_critica_count,punt_lectura_critica_std,punt_matematicas_mean,punt_matematicas_count,punt_matematicas_std,punt_c_naturales_mean,punt_c_naturales_count,punt_c_naturales_std,punt_sociales_ciudadanas_mean,punt_sociales_ciudadanas_count,punt_sociales_ciudadanas_std,punt_ingles_mean,punt_ingles_count,punt_ingles_std,punt_global_mean,punt_global_count,punt_global_std
250313000369,IE AGRICOLA LA HOLANDA,53.36363636363637,77,7.97843984700922,50.324675324675326,77,10.133895128986888,50.38961038961039,77,8.499467234318812,50.42857142857143,77,9.77164072231552,46.5974025974026,77,8.978424050349144,253.8961038961039,77,39.54896512571953
250313000458,IE SANTA MARIA MAZZARELLO,55.146341463414636,41,6.799121177070445,54.90243902439025,41,7.800015634756062,54.146341463414636,41,6.370090170514685,53.97560975609756,41,7.6533907677514055,53.170731707317074,41,7.66779772498072,272.1951219512195,41,29.042399618656788
250325000241,IE DIVINO NIÑO JESUS,34.5,2,3.5355339059327378,29.0,2,4.242640687119285,38.0,2,2.8284271247461903,36.5,2,2.1213203435596424,37.0,2,9.899494936611665,173.5,2,10.606601717798213
250330000518,IE JARDIN DE PEÑAS,53.0,11,7.141428428542851,52.81818181818182,11,8.588575921748399,51.54545454545455,11,6.486349302398635,50.54545454545455,11,7.488172492185745,50.45454545454545,11,6.250818128271471,259.27272727272725,11,28.256294552155662
250330000623,IE LA JULIA,46.857142857142854,28,7.624105464051774,41.964285714285715,28,9.83373687630399,46.392857142857146,28,7.030827809194282,44.464285714285715,28,7.762598566713114,41.07142857142857,28,5.017957171986842,223.10714285714286,28,32.83216499411908
250350000051,IE SANTA TERESA,44.333333333333336,6,5.609515724790034,40.5,6,4.415880433163924,46.666666666666664,6,6.831300510639732,43.833333333333336,6,8.376554582086042,40.666666666666664,6,4.1311822359545785,218.0,6,17.977764043395386
250350000786,IE HECTOR IVAN HERNANDEZ,50.8421052631579,19,7.668573370833694,46.36842105263158,19,8.50627563309577,48.73684210526316,19,8.392073676082408,48.26315789473684,19,8.15708352880528,51.05263157894737,19,6.670612867150348,243.68421052631578,19,33.38504760381168
250350000841,IE NUEVO HORIZONTE,47.44444444444444,9,11.136775914858742,42.55555555555556,9,7.418071028089296,49.0,9,4.58257569495584,46.55555555555556,9,7.763876465901411,44.55555555555556,9,5.027701042999452,231.22222222222223,9,28.63467206804444
250400000375,IE GABRIELA MISTRAL,51.25,32,6.82972629688208,48.34375,32,9.22342520870881,49.375,32,7.994958088614954,46.65625,32,7.715127055588324,43.5,32,6.164414002968977,242.46875,32,32.216990483383945
250450000198,IE VALENTIN APARICIO,56.0,2,2.8284271247461903,42.0,2,7.0710678118654755,51.5,2,6.363961030678928,51.5,2,4.949747468305833,41.0,2,5.656854249492381,247.5,2,21.920310216782973
250568000257,IE SAN RAFAEL DE DOMO PLANAS,43.888888888888886,9,5.18277060182207,40.22222222222222,9,10.50925518028963,45.44444444444444,9,9.658042129633612,41.666666666666664,9,7.053367989832943,41.333333333333336,9,6.461423991660041,213.44444444444446,9,29.69053347075087
250568001253,IE KUWEI,37.388888888888886,18,5.668684761750697,31.944444444444443,18,4.263003942571374,38.333333333333336,18,5.087470190691683,37.77777777777778,18,6.503895263207368,40.5,18,5.65945330970279,183.38888888888889,18,17.707223148590714
250568001784,IE RUBIALES,44.0,4,5.163977794943222,35.25,4,7.932002689527197,38.5,4,11.030261405182864,38.25,4,3.6855573979159963,41.0,4,5.477225575051661,195.5,4,31.54362059117501
250573000176,IE SIMON BOLIVAR,52.25,8,7.4785407285493495,51.625,8,8.8952234373286,50.75,8,8.76274581884664,48.125,8,7.567552916422664,49.125,8,6.998724373565721,253.0,8,35.2703841770968
250573001067,IE SANTA TERESA DE PACHAQUIARO,52.77358490566038,53,8.954245897540112,54.77358490566038,53,11.71068136596468,52.924528301886795,53,9.39690836352323,50.716981132075475,53,9.618446537154464,48.20754716981132,53,8.886806319495898,262.188679245283,53,42.85981469313363
250573001156,IE PUERTO GUADALUPE,47.1875,16,7.295832143536928,45.5,16,10.405126941400892,46.6875,16,7.6569685037008375,44.0,16,7.8230428862431785,41.9375,16,5.372383083883723,227.6875,16,31.756823413769414
250573030709,IE REMOLINO,50.333333333333336,9,4.769696007084727,43.44444444444444,9,5.63717817509592,51.111111111111114,9,5.577733510227171,48.55555555555556,9,4.447221354708778,42.44444444444444,9,6.578584785330183,239.44444444444446,9,15.39570647218821
250573030814,IE YAALIAKEISY,49.63636363636363,33,9.892605135333987,47.24242424242424,33,7.462532675934755,50.0,33,7.301540933255118,50.03030303030303,33,7.871963098891089,42.60606060606061,33,7.022016243303067,243.57575757575756,33,34.5108952932171
250577000332,IE AGROPECUARIA HECTOR JARAMILLO DUQUE,49.0,7,5.597618541248888,47.57142857142857,7,8.734169352933012,52.142857142857146,7,6.938505396903368,47.142857142857146,7,9.281317640446165,49.285714285714285,7,9.586697132212008,245.0,7,32.832910318764
250577000391,IE INTERNADO CHARCO TRECE,49.333333333333336,18,8.711047752203891,46.111111111111114,18,12.043494162160206,47.888888888888886,18,8.963251044182895,46.94444444444444,18,10.275454604067962,42.111111111111114,18,6.086522129589846,235.66666666666666,18,41.246746752284096
250577000472,IE PUERTO IRIS,51.125,24,10.156653420081447,48.333333333333336,24,8.437322193510301,47.375,24,10.387335516408182,46.958333333333336,24,8.8636000472213,45.166666666666664,24,7.510379291450551,240.91666666666666,24,38.91899800607798
250577000499,IE LA PRIMAVERA,43.55555555555556,9,6.984108946585655,40.666666666666664,9,8.351646544245032,43.333333333333336,9,8.336666000266533,39.77777777777778,9,7.412451985979028,41.44444444444444,9,3.6438685181792403,209.0,9,32.981055168080964
250606000029,IE FRANCISCO TORRES LEON,60.017699115044245,113,8.405973960826222,59.902654867256636,113,10.602362103534414,58.76106194690266,113,8.717054647032025,58.88495575221239,113,10.301484127116778,56.95575221238938,113,11.738512150587129,296.05309734513276,113,42.34927911090875
